Date,Value
1913-1-01,9.8
1913-2-01,9.8
1913-3-01,9.8
1913-4-01,9.8
1913-5-01,9.7
1913-6-01,9.8
1913-7-01,9.9
1913-8-01,9.9
1913-9-01,10.0
1913-10-01,10.0
1913-11-01,10.1
1913-12-01,10.0
1914-1-01,10.0
1914-2-01,9.9
1914-3-01,9.9
1914-4-01,9.8
1914-5-01,9.9
1914-6-01,9.9
1914-7-01,10.0
1914-8-01,10.2
1914-9-01,10.2
1914-10-01,10.1
1914-11-01,10.2
1914-12-01,10.1
1915-1-01,10.1
1915-2-01,10.0
1915-3-01,9.9
1915-4-01,10.0
1915-5-01,10.1
1915-6-01,10.1
1915-7-01,10.1
1915-8-01,10.1
1915-9-01,10.1
1915-10-01,10.2
1915-11-01,10.3
1915-12-01,10.3
1916-1-01,10.4
1916-2-01,10.4
1916-3-01,10.5
1916-4-01,10.6
1916-5-01,10.7
1916-6-01,10.8
1916-7-01,10.8
1916-8-01,10.9
1916-9-01,11.1
1916-10-01,11.3
1916-11-01,11.5
1916-12-01,11.6
1917-1-01,11.7
1917-2-01,12.0
1917-3-01,12.0
1917-4-01,12.6
1917-5-01,12.8
1917-6-01,13.0
1917-7-01,12.8
1917-8-01,13.0
1917-9-01,13.3
1917-10-01,13.5
1917-11-01,13.5
1917-12-01,13.7
1918-1-01,14.0
1918-2-01,14.1
1918-3-01,14.0
1918-4-01,14.2
1918-5-01,14.5
1918-6-01,14.7
1918-7-01,15.1
1918-8-01,15.4
1918-9-01,15.7
1918-10-01,16.0
1918-11-01,16.3
1918-12-01,16.5
1919-1-01,16.5
1919-2-01,16.2
1919-3-01,16.4
1919-4-01,16.7
1919-5-01,16.9
1919-6-01,16.9
1919-7-01,17.4
1919-8-01,17.7
1919-9-01,17.8
1919-10-01,18.1
1919-11-01,18.5
1919-12-01,18.9
1920-1-01,19.3
1920-2-01,19.5
1920-3-01,19.7
1920-4-01,20.3
1920-5-01,20.6
1920-6-01,20.9
1920-7-01,20.8
1920-8-01,20.3
1920-9-01,20.0
1920-10-01,19.9
1920-11-01,19.8
1920-12-01,19.4
1921-1-01,19.0
1921-2-01,18.4
1921-3-01,18.3
1921-4-01,18.1
1921-5-01,17.7
1921-6-01,17.6
1921-7-01,17.7
1921-8-01,17.7
1921-9-01,17.5
1921-10-01,17.5
1921-11-01,17.4
1921-12-01,17.3
1922-1-01,16.9
1922-2-01,16.9
1922-3-01,16.7
1922-4-01,16.7
1922-5-01,16.7
1922-6-01,16.7
1922-7-01,16.8
1922-8-01,16.6
1922-9-01,16.6
1922-10-01,16.7
1922-11-01,16.8
1922-12-01,16.9
1923-1-01,16.8
1923-2-01,16.8
